customer_key,customer_number,customer_name,age_segment,customer_segment,total_orders,total_sales,total_quantity_purch,total_products,recency,AOV,avg_monthly_spent
415,AW00011414,Ian Richardson,60 - 69,VIP,10,7191,10,10,138,719,288
423,AW00011422,Dustin Deng,Above 70,VIP,10,7075,10,10,136,708,262
767,AW00011766,Candace Raman,50 - 59,VIP,11,8280,11,11,140,753,376
250,AW00011249,Cindy Patel,50 - 59,VIP,11,9890,11,11,138,899,430
1656,AW00012655,Larry Vazquez,Above 70,VIP,11,10899,11,11,141,991,545
1632,AW00012631,Clarence Gao,Above 70,VIP,11,10799,11,10,141,982,540
2406,AW00013405,Ethan Bryant,60 - 69,VIP,11,10778,11,8,140,980,539
997,AW00011996,Veronica Srini,50 - 59,VIP,11,7059,11,10,139,642,336
413,AW00011412,Sydney Bryant,60 - 69,VIP,11,9880,11,10,137,898,430
4658,AW00015657,Marcus Hayes,60 - 69,VIP,10,5250,10,10,136,525,219
2264,AW00013263,Kate Anand,60 - 69,VIP,12,10871,12,11,140,906,544
987,AW00011986,Max Alvarez,50 - 59,VIP,11,8245,11,11,139,750,393
429,AW00011428,Deanna Perez,60 - 69,VIP,12,9954,12,12,137,830,452
4662,AW00015661,Brandon Robinson,60 - 69,VIP,10,5207,10,10,135,521,217
424,AW00011423,Jasmine Stewart,60 - 69,VIP,10,9905,10,10,137,991,450
432,AW00011431,Bryant Garcia,50 - 59,VIP,11,9913,11,8,138,901,472
2576,AW00013575,Alicia Shen,Above 70,VIP,13,9458,13,12,139,728,498
2578,AW00013577,Theodore Torres,Above 70,VIP,11,9451,11,11,139,859,497
1349,AW00012348,Jimmy Vazquez,40 - 49,VIP,10,6906,10,9,138,691,345
617,AW00011616,Casey Nath,40 - 49,VIP,10,5253,10,10,143,525,375
1685,AW00012684,Shaun Shen,40 - 49,VIP,10,6893,10,9,137,689,345
1134,AW00012133,Colleen Xie,60 - 69,VIP,10,5830,10,9,135,583,265
1681,AW00012680,George Sanchez,40 - 49,VIP,10,6880,10,10,138,688,362
3201,AW00014200,Colleen Goel,Above 70,VIP,10,9422,10,10,138,942,523
4698,AW00015697,Julia Morris,60 - 69,VIP,10,6975,10,9,140,698,436
3186,AW00014185,Frank Vazquez,60 - 69,VIP,13,9524,13,12,140,733,595
3187,AW00014186,Katrina Tang,60 - 69,VIP,10,9796,10,10,139,980,576
3193,AW00014192,Ronald Kapoor,60 - 69,VIP,10,9452,10,10,139,945,556
3720,AW00014719,Ronnie He,50 - 59,VIP,10,5512,10,10,135,551,276
1131,AW00012130,Suzanne Zhou,60 - 69,VIP,10,7987,10,9,136,799,444
1126,AW00012125,Diana Ortega,60 - 69,VIP,10,8595,10,10,136,860,478
3932,AW00014931,Andres Pal,50 - 59,VIP,10,6981,10,10,141,698,537
1288,AW00012287,Andre Arun,60 - 69,VIP,10,5720,10,9,142,572,477
5588,AW00016587,Zachary Martinez,60 - 69,VIP,10,7064,10,10,139,706,543
1292,AW00012291,Johnathan Suri,Above 70,VIP,11,8067,11,10,136,733,504
1298,AW00012297,Felicia Blanco,Above 70,VIP,11,8022,11,10,136,729,535
1331,AW00012330,Preston Raman,Above 70,VIP,10,7932,10,8,135,793,496
1299,AW00012298,Crystal Zeng,Above 70,VIP,10,8052,10,10,135,805,503
1303,AW00012302,Kevin Coleman,Above 70,VIP,12,8091,12,12,135,674,506
3317,AW00014316,Leonard Anand,50 - 59,Regular,10,3796,10,9,137,380,271
6222,AW00017221,Ricky Navarro,Above 70,VIP,13,7292,13,11,139,561,663
3277,AW00014276,Melody Suarez,60 - 69,VIP,11,5258,11,8,139,478,478
4679,AW00015678,Susan Zhou,40 - 49,VIP,10,7223,10,8,137,722,556
242,AW00011241,Lisa Cai,50 - 59,VIP,25,11468,25,20,137,459,882
1654,AW00012653,Nichole Andersen,Above 70,VIP,10,6859,10,8,142,686,857
243,AW00011242,Larry Munoz,60 - 69,VIP,12,11067,12,12,135,922,738
421,AW00011420,Jordan Turner,Above 70,VIP,17,11200,17,16,136,659,933
418,AW00011417,Lacey Zheng,Above 70,VIP,17,11248,17,14,135,662,865
403,AW00011402,Kelli Cai,50 - 59,VIP,10,5059,10,9,143,506,1012
6780,AW00017779,Madison Patterson,50 - 59,Regular,10,4249,10,10,135,425,327
426,AW00011425,Ariana Gray,60 - 69,VIP,15,10528,15,15,135,702,810
1743,AW00012742,Samantha Martinez,40 - 49,VIP,10,5148,10,10,141,515,735
440,AW00011439,Janet Munoz,Above 70,VIP,14,12488,14,12,137,892,1135
434,AW00011433,Maurice Shan,60 - 69,VIP,12,12924,13,12,138,1077,1436
2256,AW00013255,Lance Blanco,60 - 69,VIP,12,7393,12,9,135,616,616
433,AW00011432,Dominique Prasad,60 - 69,VIP,16,9330,16,15,135,583,778
2257,AW00013256,Abby Subram,60 - 69,VIP,13,7494,13,12,135,576,625
430,AW00011429,Marco Lopez,60 - 69,VIP,17,10468,17,14,135,616,872
3080,AW00014079,Lauren Price,40 - 49,Regular,11,224,11,10,134,20,19
3568,AW00014567,Seth Thomas,40 - 49,Regular,10,161,10,10,135,16,15
567,AW00011566,April Shan,50 - 59,Regular,58,1002,58,15,134,17,84
531,AW00011530,Andrew Martinez,60 - 69,Regular,26,572,26,18,135,22,52
277,AW00011276,Nancy Chapman,50 - 59,Regular,57,987,57,22,134,17,82
288,AW00011287,Henry Garcia,50 - 59,Regular,62,1165,62,23,134,19,97
92,AW00011091,Dalton Perez,60 - 69,Regular,59,1186,59,25,134,20,99
6375,AW00017374,Jason Diaz,40 - 49,Regular,12,206,12,10,140,17,34
1055,AW00012054,Luke Diaz,50 - 59,Regular,11,403,11,8,135,37,37
1062,AW00012061,Bryce Brooks,Above 70,Regular,10,140,10,8,138,14,18
224,AW00011223,Hailey Patterson,60 - 69,Regular,56,2193,65,26,134,39,183
1166,AW00012165,Caleb Flores,50 - 59,Regular,13,280,13,11,140,22,47
633,AW00011632,Alexandra Jenkins,40 - 49,Regular,34,1001,34,23,134,29,83
642,AW00011641,James Chen,40 - 49,Regular,11,302,11,10,139,27,43
213,AW00011212,Chloe Campbell,Above 70,Regular,33,824,33,20,134,25,69
503,AW00011502,Jared Peterson,40 - 49,Regular,42,1020,42,25,134,24,85
301,AW00011300,Fernando Barnes,60 - 69,Regular,67,1499,67,28,135,22,136
501,AW00011500,Sarah Simmons,40 - 49,Regular,30,653,30,23,134,22,54
3092,AW00014091,Logan Thomas,40 - 49,Regular,11,251,11,10,139,23,36
212,AW00011211,Samantha Russell,60 - 69,Regular,33,792,33,22,134,24,72
177,AW00011176,Mason Roberts,40 - 49,Regular,60,1317,60,27,134,22,120
869,AW00011868,Jessica Peterson,50 - 59,Regular,11,248,11,10,135,23,25
739,AW00011738,Elijah Alexander,50 - 59,Regular,13,330,13,12,135,25,33
278,AW00011277,Charles Jackson,50 - 59,Regular,65,1434,65,26,134,22,130
4173,AW00015172,Alexandra Hill,Below 40,Regular,12,215,12,11,136,18,24
1985,AW00012984,Adam Young,60 - 69,Regular,11,200,11,10,137,18,25
2759,AW00013758,Alexandria Bell,60 - 69,Regular,10,284,10,9,135,28,28
725,AW00011724,Jason Carter,50 - 59,Regular,13,210,13,11,135,16,21
1203,AW00012202,Xavier Ross,Above 70,Regular,13,171,13,8,137,13,21
2945,AW00013944,Andrew Moore,50 - 59,Regular,10,160,10,9,134,16,15
2286,AW00013285,Kara Chavez,50 - 59,Regular,11,214,11,8,137,19,27
712,AW00011711,Daniel Davis,50 - 59,Regular,55,1104,55,27,134,20,100
201,AW00011200,Jason Griffin,Above 70,Regular,55,1461,55,26,134,27,133
632,AW00011631,Antonio Bennett,40 - 49,Regular,33,706,33,22,135,21,71
332,AW00011331,Samantha Jenkins,50 - 59,Regular,58,1327,58,24,134,23,121
620,AW00011619,Sierra Young,40 - 49,Regular,29,633,29,18,135,22,63
821,AW00011820,Katelyn Lopez,40 - 49,Regular,10,232,10,9,135,23,23
2096,AW00013095,Jordan Griffin,60 - 69,Regular,12,329,12,10,135,27,33
643,AW00011642,Morgan Hughes,40 - 49,Regular,15,481,15,14,134,32,44
20,AW00011019,Luke Lal,40 - 49,Regular,33,880,33,20,134,27,80
331,AW00011330,Ryan Thompson,Above 70,Regular,57,1134,57,24,134,20,103
1920,AW00012919,Carlos Hill,50 - 59,Regular,13,257,13,9,136,20,29
2319,AW00013318,Amber Perez,60 - 69,Regular,12,214,12,12,137,18,27
143,AW00011142,Eduardo Patterson,40 - 49,Regular,36,979,36,23,134,27,89
846,AW00011845,Natalie Jones,Above 70,Regular,11,197,11,8,135,18,20
2269,AW00013268,Katherine Parker,Above 70,Regular,12,290,12,12,138,24,41
1893,AW00012892,Brian Peterson,40 - 49,Regular,14,419,14,12,136,30,47
216,AW00011215,Ana Perry,60 - 69,Regular,32,1154,32,21,135,36,115
79,AW00011078,Gina Martin,40 - 49,Regular,31,912,31,23,134,29,83
923,AW00011922,James Davis,40 - 49,Regular,12,276,12,10,137,23,35
1531,AW00012530,Isabel Coleman,40 - 49,Regular,11,338,11,10,135,31,34
1896,AW00012895,Destiny Anderson,50 - 59,Regular,15,336,15,14,135,22,34
3634,AW00014633,Timothy Morgan,50 - 59,Regular,11,243,11,10,137,22,30
4827,AW00015826,Marissa Price,40 - 49,Regular,10,185,10,10,134,19,17
508,AW00011507,Isabella Russell,50 - 59,Regular,31,651,31,20,134,21,59
2207,AW00013206,Emily Flores,60 - 69,Regular,11,163,11,8,138,15,23
6386,AW00017385,Grace Martinez,40 - 49,Regular,10,208,10,10,137,21,26
1184,AW00012183,Emily Robinson,50 - 59,Regular,10,229,10,8,140,23,46
4527,AW00015526,Isabelle Flores,50 - 59,Regular,10,188,10,10,136,19,21
204,AW00011203,Luis Diaz,60 - 69,Regular,32,800,32,19,135,25,80
4499,AW00015498,Alexandra Washington,50 - 59,Regular,10,256,10,9,138,26,37
828,AW00011827,Sara Baker,40 - 49,Regular,15,511,15,12,135,34,51
186,AW00011185,Ashley Henderson,Above 70,Regular,68,1616,68,29,134,24,147
6388,AW00017387,Aidan Alexander,40 - 49,Regular,10,148,10,9,143,15,74
521,AW00011520,Jada Morgan,60 - 69,Regular,32,822,32,24,134,26,75
3329,AW00014328,Andrea Rogers,40 - 49,Regular,15,308,15,14,137,21,39
4469,AW00015468,Emma Foster,40 - 49,Regular,10,437,10,10,137,44,55
506,AW00011505,Jasmine Powell,50 - 59,Regular,36,845,36,22,135,23,85
6443,AW00017442,Edward Taylor,Above 70,Regular,11,320,11,10,135,29,32
1160,AW00012159,Kaitlyn Scott,50 - 59,Regular,12,259,12,8,134,22,24
803,AW00011802,Madison Taylor,40 - 49,Regular,12,214,12,10,135,18,21
263,AW00011262,Jennifer Simmons,50 - 59,Regular,63,1124,63,26,134,18,102
6027,AW00017026,Jordan Li,50 - 59,New,10,261,10,9,144,26,261
499,AW00011498,Arturo Sun,40 - 49,Regular,30,560,30,18,134,19,51
254,AW00011253,Jos Hernandez,Above 70,Regular,30,695,30,16,135,23,77
2757,AW00013756,Kaylee Young,60 - 69,Regular,13,298,13,12,141,23,99
1445,AW00012444,Mackenzie Phillips,60 - 69,Regular,11,293,11,9,134,27,29
2145,AW00013144,Destiny Stewart,40 - 49,Regular,11,281,11,10,138,26,47
741,AW00011740,Jan Hall,60 - 69,Regular,14,384,14,12,134,27,38
507,AW00011506,Nicholas Brown,50 - 59,Regular,36,748,36,24,134,21,75
3898,AW00014897,Hunter Moore,60 - 69,Regular,11,196,11,11,138,18,33
710,AW00011709,Hailey Collins,50 - 59,Regular,12,325,12,9,137,27,46
4245,AW00015244,Alexis Rodriguez,40 - 49,Regular,12,179,12,11,137,15,26
511,AW00011510,Seth Roberts,60 - 69,Regular,16,257,16,14,135,16,29
520,AW00011519,Jerome Navarro,60 - 69,Regular,36,756,36,20,134,21,76
641,AW00011640,Chloe Wilson,50 - 59,Regular,15,408,15,14,135,27,45
825,AW00011824,Jill Martin,40 - 49,Regular,11,240,11,10,134,22,24
3726,AW00014725,Evan Morgan,50 - 59,Regular,10,319,10,10,135,32,35
1929,AW00012928,Carol Wright,50 - 59,Regular,10,247,10,9,136,25,31
870,AW00011869,Kaitlyn Adams,40 - 49,Regular,14,268,14,12,134,19,27
1761,AW00012760,Krista Gomez,50 - 59,Regular,12,273,12,11,141,23,91
1940,AW00012939,Eduardo Parker,50 - 59,Regular,13,238,13,10,134,18,24
74,AW00011073,Amy Ye,60 - 69,Regular,10,192,10,9,139,19,38
809,AW00011808,James Parker,50 - 59,Regular,14,609,14,12,137,44,87
1945,AW00012944,Jose Jai,50 - 59,Regular,10,164,10,9,138,16,27
502,AW00011501,Brandy Chandra,40 - 49,Regular,33,871,33,23,134,26,87
2763,AW00013762,Gavin Long,60 - 69,Regular,12,230,12,11,134,19,23
1364,AW00012363,Kayla Thompson,Above 70,Regular,11,274,11,9,137,25,39
678,AW00011677,Charles Walker,40 - 49,Regular,10,297,10,10,136,30,42
662,AW00011661,Jeremiah James,40 - 49,Regular,11,287,11,10,135,26,36
2921,AW00013920,Amanda Rogers,50 - 59,Regular,12,268,12,12,137,22,45
5718,AW00016717,Masaki Umeda,40 - 49,Regular,10,234,10,10,138,23,47
785,AW00011784,Jose Turner,40 - 49,Regular,12,272,12,9,135,23,34
2180,AW00013179,Adrian Sanchez,Above 70,Regular,10,190,10,9,135,19,24
3567,AW00014566,Kaylee Mitchell,40 - 49,Regular,13,402,13,11,138,31,80
1431,AW00012430,Kaitlyn Thompson,60 - 69,Regular,11,289,11,9,134,26,32
876,AW00011875,Jonathan Brown,50 - 59,Regular,11,292,11,10,134,27,32
1137,AW00012136,Blake Turner,Above 70,Regular,10,181,10,10,134,18,20
2232,AW00013231,Alexia Ross,Above 70,Regular,11,248,11,11,138,23,50
720,AW00011719,Blake Green,50 - 59,Regular,11,286,11,10,138,26,57
770,AW00011769,Haley Hernandez,40 - 49,Regular,17,478,17,14,138,28,96
2702,AW00013701,Haley Scott,40 - 49,Regular,10,170,10,10,134,17,19
1971,AW00012970,Angela Powell,50 - 59,Regular,15,471,15,14,137,31,79
5951,AW00016950,Connor Edwards,40 - 49,Regular,10,212,10,8,140,21,71
3662,AW00014661,Jade Ward,60 - 69,Regular,10,195,10,10,139,20,65
2942,AW00013941,Brittany Hayes,40 - 49,Regular,11,287,11,11,135,26,41
4252,AW00015251,Noah Hall,40 - 49,Regular,11,200,11,10,134,18,25
2475,AW00013474,Elizabeth Hall,60 - 69,Regular,14,340,14,13,137,24,68
661,AW00011660,Miranda Gonzales,40 - 49,Regular,15,323,15,11,139,22,108
660,AW00011659,Miguel Adams,50 - 59,Regular,10,234,10,9,134,23,29
862,AW00011861,Katherine Carter,50 - 59,Regular,13,287,13,11,135,22,41
1970,AW00012969,Richard Rodriguez,60 - 69,Regular,12,180,12,9,137,15,36
1946,AW00012945,Jessica Bailey,50 - 59,Regular,13,322,13,11,134,25,40
824,AW00011823,Morgan Turner,40 - 49,Regular,16,263,16,11,134,16,33
3725,AW00014724,Dylan Robinson,50 - 59,Regular,10,120,10,8,134,12,15
842,AW00011841,Sean Nelson,50 - 59,Regular,13,307,13,10,136,24,51
1098,AW00012097,Sean Allen,Above 70,Regular,10,238,10,9,134,24,30
1973,AW00012972,Carolyn Suri,40 - 49,Regular,10,175,10,8,136,18,29
2240,AW00013239,Matthew Thomas,60 - 69,Regular,11,185,11,10,135,17,26
1141,AW00012140,Oscar Russell,50 - 59,Regular,10,118,10,8,137,12,30
3097,AW00014096,Samuel Green,40 - 49,Regular,12,233,12,12,134,19,33
834,AW00011833,Oscar Price,40 - 49,Regular,11,240,11,11,136,22,48
2761,AW00013760,Brian Cooper,60 - 69,Regular,11,198,11,11,134,18,28
1057,AW00012056,Ian Ward,Above 70,Regular,11,254,11,8,134,23,36
3575,AW00014574,Katherine Powell,50 - 59,Regular,11,177,11,10,136,16,35
1148,AW00012147,Taylor Patterson,50 - 59,Regular,13,271,13,10,136,21,54
2176,AW00013175,Noah Smith,50 - 59,Regular,12,287,12,8,134,24,41
653,AW00011652,Samuel Russell,40 - 49,Regular,14,310,14,11,135,22,52
1204,AW00012203,Zachary Hughes,Above 70,Regular,12,200,12,10,134,17,33
4198,AW00015197,Elijah Kumar,60 - 69,Regular,10,192,10,7,134,19,32
4567,AW00015566,Aaron Foster,50 - 59,Regular,10,4912,10,10,135,491,982
3342,AW00014341,Sean Sanders,40 - 49,Regular,14,244,14,14,134,17,41
3905,AW00014904,Spencer Powell,60 - 69,Regular,12,468,12,11,135,39,94
2141,AW00013140,Jamie Zhu,60 - 69,Regular,10,325,10,9,134,33,54
4537,AW00015536,Victoria Thomas,50 - 59,Regular,10,250,10,9,135,25,50
2989,AW00013988,Miguel White,40 - 49,Regular,10,196,10,10,137,20,65
1075,AW00012074,Megan Jenkins,60 - 69,Regular,13,261,13,10,137,20,131
1159,AW00012158,Kyle Phillips,40 - 49,Regular,11,202,11,7,135,18,67
1607,AW00012606,Arthur Van,60 - 69,Regular,11,333,11,10,134,30,83
7321,AW00018320,Luis Jai,40 - 49,Regular,10,222,10,10,135,22,74
4762,AW00015761,Xavier Thompson,40 - 49,Regular,11,196,11,11,134,18,65
2097,AW00013096,Jonathan Chen,60 - 69,Regular,13,231,13,11,134,18,77
17390,AW00028389,Rachael Martinez,50 - 59,New,1,3400,1,1,171,3400,3400
16602,AW00027601,Sydney Rogers,50 - 59,New,1,3578,1,1,170,3578,3578
16613,AW00027612,Lucas Hill,40 - 49,New,1,3578,1,1,170,3578,3578
14862,AW00025861,Garrett Cooper,Above 70,New,1,3400,1,1,170,3400,3400
16667,AW00027666,Alyssa Garcia,60 - 69,New,1,3578,1,1,170,3578,3578
16578,AW00027577,Patrick Cook,60 - 69,New,1,3578,1,1,170,3578,3578
16605,AW00027604,Richard Brooks,60 - 69,New,1,3578,1,1,170,3578,3578
16579,AW00027578,Courtney Carter,60 - 69,New,1,3578,1,1,170,3578,3578
16650,AW00027649,Evan Bailey,60 - 69,New,1,3578,1,1,170,3578,3578
16615,AW00027614,Warren Ye,60 - 69,New,1,3578,1,1,170,3578,3578
18386,AW00029385,Don Lal,50 - 59,New,1,3400,1,1,170,3400,3400
14858,AW00025857,Abigail Perry,Above 70,New,1,3400,1,1,170,3400,3400
17391,AW00028390,Frederick Suri,50 - 59,New,1,3375,1,1,170,3375,3375
16606,AW00027605,Miguel Martinez,50 - 59,New,1,3578,1,1,170,3578,3578
16612,AW00027611,Jack Edwards,60 - 69,New,1,3578,1,1,170,3578,3578
15621,AW00026620,Isabella Green,40 - 49,New,1,699,1,1,170,699,699
8803,AW00019802,Sara James,40 - 49,New,1,3375,1,1,170,3375,3375
16674,AW00027673,Jennifer Young,60 - 69,New,1,3578,1,1,170,3578,3578
17019,AW00028018,Rachel Foster,60 - 69,New,1,3578,1,1,170,3578,3578
16727,AW00027726,Sophia Hall,40 - 49,New,1,3578,1,1,169,3578,3578
17015,AW00028014,Rachel Robinson,Above 70,New,1,3578,1,1,169,3578,3578
17041,AW00028040,Jack Mitchell,Above 70,New,1,3578,1,1,169,3578,3578
17040,AW00028039,Xavier Lee,60 - 69,New,1,3578,1,1,169,3578,3578
17018,AW00028017,Christopher Martin,Above 70,New,1,3578,1,1,169,3578,3578
17043,AW00028042,Joseph Brown,60 - 69,New,1,3578,1,1,169,3578,3578
16682,AW00027681,Olivia Jackson,60 - 69,New,1,3578,1,1,169,3578,3578
17023,AW00028022,Jason Lopez,Above 70,New,1,3578,1,1,169,3578,3578
17048,AW00028047,Jay Sanchez,60 - 69,New,1,3578,1,1,169,3578,3578
15630,AW00026629,Miranda Price,60 - 69,New,1,699,1,1,169,699,699
17045,AW00028044,Jimmy Navarro,Above 70,New,1,3578,1,1,169,3578,3578
16679,AW00027678,Angel Carter,60 - 69,New,1,3578,1,1,169,3578,3578
16760,AW00027759,Alexandria Brooks,40 - 49,New,1,3578,1,1,169,3578,3578
16918,AW00027917,Andrea Sanders,40 - 49,New,1,3578,1,1,169,3578,3578
17042,AW00028041,Rebecca Wright,Above 70,New,1,3578,1,1,169,3578,3578
17146,AW00028145,Brandon Jones,40 - 49,New,1,3578,1,1,168,3578,3578
17173,AW00028172,Charles Moore,50 - 59,New,1,3578,1,1,168,3578,3578
17169,AW00028168,Jacqueline Ward,50 - 59,New,1,3578,1,1,168,3578,3578
17182,AW00028181,Katherine Rodriguez,40 - 49,New,1,3578,1,1,168,3578,3578
17183,AW00028182,Fernando Turner,50 - 59,New,1,3578,1,1,168,3578,3578
17187,AW00028186,Jenny Wagner,60 - 69,New,1,3578,1,1,168,3578,3578
17186,AW00028185,Eric Alexander,40 - 49,New,1,3578,1,1,168,3578,3578
17089,AW00028088,Marshall Lal,40 - 49,New,1,3578,1,1,168,3578,3578
17180,AW00028179,Billy Alvarez,50 - 59,New,1,3578,1,1,168,3578,3578
17184,AW00028183,Nicole Howard,50 - 59,New,1,3578,1,1,168,3578,3578
17113,AW00028112,Savannah Evans,Below 40,New,1,3578,1,1,168,3578,3578
17098,AW00028097,Jennifer Barnes,40 - 49,New,1,3578,1,1,168,3578,3578
17165,AW00028164,Gabrielle Coleman,50 - 59,New,1,3578,1,1,168,3578,3578
17097,AW00028096,Alexandra Stewart,40 - 49,New,1,3578,1,1,168,3578,3578
17151,AW00028150,Connor Chen,50 - 59,New,1,3578,1,1,168,3578,3578
17150,AW00028149,William Miller,50 - 59,New,1,3578,1,1,168,3578,3578
17163,AW00028162,Bruce Ward,50 - 59,New,1,3578,1,1,168,3578,3578
17171,AW00028170,Isabella Johnson,50 - 59,New,1,3578,1,1,168,3578,3578
17181,AW00028180,Jerry Chander,50 - 59,New,1,3578,1,1,168,3578,3578
17149,AW00028148,Jon Zhao,50 - 59,New,1,3578,1,1,168,3578,3578
17167,AW00028166,Cassidy Coleman,50 - 59,New,1,3578,1,1,168,3578,3578
17402,AW00028401,Maria Alexander,50 - 59,New,1,3375,1,1,168,3375,3375
17185,AW00028184,Madison Russell,40 - 49,New,1,3578,1,1,168,3578,3578
17164,AW00028163,Rachel Washington,50 - 59,New,1,3578,1,1,168,3578,3578
17168,AW00028167,Samuel Hughes,50 - 59,New,1,3578,1,1,168,3578,3578
17143,AW00028142,Willie Lin,40 - 49,New,1,3578,1,1,168,3578,3578
17172,AW00028171,Aidan Henderson,50 - 59,New,1,3578,1,1,168,3578,3578
17148,AW00028147,Omar Black,50 - 59,New,1,3578,1,1,168,3578,3578
17223,AW00028222,Eduardo Lewis,60 - 69,New,1,3578,1,1,168,3578,3578
17599,AW00028598,Wyatt Russell,60 - 69,New,1,3578,1,1,167,3578,3578
17200,AW00028199,Alyssa Jones,60 - 69,New,1,3578,1,1,167,3578,3578
17201,AW00028200,Morgan Henderson,60 - 69,New,1,3578,1,1,167,3578,3578
17272,AW00028271,Sean Gonzalez,60 - 69,New,1,3578,1,1,167,3578,3578
17588,AW00028587,Xavier Harris,60 - 69,New,1,3578,1,1,167,3578,3578
17340,AW00028339,Sean Edwards,40 - 49,New,1,3578,1,1,167,3578,3578
17589,AW00028588,Emma Griffin,60 - 69,New,1,3578,1,1,167,3578,3578
17222,AW00028221,Isabella Rodriguez,60 - 69,New,1,3578,1,1,167,3578,3578
17300,AW00028299,Jonathan Shan,50 - 59,New,1,3578,1,1,167,3578,3578
17224,AW00028223,Jessica Davis,50 - 59,New,1,3578,1,1,167,3578,3578
17585,AW00028584,Rolando Smith,60 - 69,New,1,3578,1,1,167,3578,3578
17341,AW00028340,Lucas Butler,40 - 49,New,1,3578,1,1,167,3578,3578
17356,AW00028355,Carlos James,50 - 59,New,1,3578,1,1,167,3578,3578
17587,AW00028586,Gabriel Diaz,60 - 69,New,1,3578,1,1,167,3578,3578
17363,AW00028362,Kaylee Sanchez,40 - 49,New,1,3578,1,1,167,3578,3578
17584,AW00028583,Ryan Long,60 - 69,New,1,3578,1,1,167,3578,3578
17271,AW00028270,Samuel Long,50 - 59,New,1,3578,1,1,167,3578,3578
15631,AW00026630,Vanessa Powell,60 - 69,New,1,699,1,1,167,699,699
17574,AW00028573,Tyrone Gill,40 - 49,New,1,3578,1,1,167,3578,3578
17294,AW00028293,Shelby Cox,60 - 69,New,1,3578,1,1,167,3578,3578
17295,AW00028294,Alexis Jenkins,60 - 69,New,1,3578,1,1,167,3578,3578
17296,AW00028295,Wyatt Collins,60 - 69,New,1,3578,1,1,167,3578,3578
18449,AW00029448,Lindsey Yuan,Above 70,New,1,3400,1,1,166,3400,3400
17661,AW00028660,Justin Anderson,40 - 49,New,1,3578,1,1,166,3578,3578
17654,AW00028653,Grace Williams,40 - 49,New,1,3578,1,1,166,3578,3578
17791,AW00028790,Seth Howard,60 - 69,New,1,3578,1,1,166,3578,3578
17795,AW00028794,Juan Cooper,60 - 69,New,1,3578,1,1,166,3578,3578
